"tick","Total"
1.1,1108
2.1,1108
3.1,1108
4.1,1127
5.1,1127
6.1,1127
7.1,1127
8.1,988
9.1,988
10.1,988
11.1,988
12.1,858
13.1,858
14.1,858
15.1,858
16.1,858
17.1,596
18.1,596
19.1,596
20.1,596
21.1,416
22.1,416
23.1,416
24.1,416
25.1,416
26.1,229
27.1,229
28.1,229
29.1,229
30.1,259
31.1,259
32.1,259
33.1,259
34.1,489
35.1,489
36.1,489
37.1,489
38.1,489
39.1,766
40.1,766
41.1,766
42.1,766
43.1,1053
44.1,1053
45.1,1053
46.1,1053
47.1,1141
48.1,1141
49.1,1141
50.1,1141
51.1,1141
52.1,1108
53.1,1108
54.1,1108
55.1,1108
56.1,1127
57.1,1127
58.1,1127
59.1,1127
60.1,988
61.1,988
62.1,988
63.1,988
64.1,858
65.1,858
66.1,858
67.1,858
68.1,858
69.1,596
70.1,596
71.1,596
72.1,596
73.1,416
74.1,416
75.1,416
76.1,416
77.1,416
78.1,229
79.1,229
80.1,229
81.1,229
82.1,259
83.1,259
84.1,259
85.1,259
86.1,489
87.1,489
88.1,489
89.1,489
90.1,489
91.1,766
92.1,766
93.1,766
94.1,766
95.1,1053
96.1,1053
97.1,1053
98.1,1053
99.1,1141
100.1,1141
101.1,1141
102.1,1141
103.1,1141
104.1,1108
105.1,1108
106.1,1108
107.1,1108
108.1,1127
109.1,1127
110.1,1127
111.1,1127
112.1,988
113.1,988
114.1,988
115.1,988
116.1,858
117.1,858
118.1,858
119.1,858
120.1,858
121.1,596
122.1,596
123.1,596
124.1,596
125.1,416
126.1,416
127.1,416
128.1,416
129.1,416
130.1,229
131.1,229
132.1,229
133.1,229
134.1,259
135.1,259
136.1,259
137.1,259
138.1,489
139.1,489
140.1,489
141.1,489
142.1,489
143.1,766
144.1,766
145.1,766
146.1,766
147.1,1053
148.1,1053
149.1,1053
150.1,1053
151.1,1141
152.1,1141
153.1,1141
154.1,1141
155.1,1141
156.1,1108
157.1,1108
158.1,1108
159.1,1108
160.1,1127
161.1,1127
162.1,1127
163.1,1127
164.1,988
165.1,988
166.1,988
167.1,988
168.1,858
169.1,858
170.1,858
171.1,858
172.1,858
173.1,596
174.1,596
175.1,596
176.1,596
177.1,416
178.1,416
179.1,416
180.1,416
181.1,416
182.1,229
183.1,229
184.1,229
185.1,229
186.1,259
187.1,259
188.1,259
189.1,259
190.1,489
191.1,489
192.1,489
193.1,489
194.1,489
195.1,766
196.1,766
197.1,766
198.1,766
199.1,1053
200.1,1053
201.1,1053
202.1,1053
203.1,1141
204.1,1141
205.1,1141
206.1,1141
207.1,1141
208.1,1108
209.1,1108
210.1,1108
211.1,1108
212.1,1127
213.1,1127
214.1,1127
215.1,1127
216.1,988
217.1,988
218.1,988
219.1,988
220.1,858
221.1,858
222.1,858
223.1,858
224.1,858
225.1,596
226.1,596
227.1,596
228.1,596
229.1,416
230.1,416
231.1,416
232.1,416
233.1,416
234.1,229
235.1,229
236.1,229
237.1,229
238.1,259
239.1,259
240.1,259
241.1,259
242.1,489
243.1,489
244.1,489
245.1,489
246.1,489
247.1,766
248.1,766
249.1,766
250.1,766
251.1,1053
252.1,1053
253.1,1053
254.1,1053
255.1,1141
256.1,1141
257.1,1141
258.1,1141
259.1,1141
260.1,1108
261.1,1108
262.1,1108
263.1,1108
264.1,1127
265.1,1127
266.1,1127
267.1,1127
268.1,988
269.1,988
270.1,988
271.1,988
272.1,858
273.1,858
274.1,858
275.1,858
276.1,858
277.1,596
278.1,596
279.1,596
280.1,596
281.1,416
282.1,416
283.1,416
284.1,416
285.1,416
286.1,229
287.1,229
288.1,229
289.1,229
290.1,259
291.1,259
292.1,259
293.1,259
294.1,489
295.1,489
296.1,489
297.1,489
298.1,489
299.1,766
300.1,766
301.1,766
302.1,766
303.1,1053
304.1,1053
305.1,1053
306.1,1053
307.1,1141
308.1,1141
309.1,1141
310.1,1141
311.1,1141
312.1,1108
313.1,1108
314.1,1108
315.1,1108
316.1,1127
317.1,1127
318.1,1127
319.1,1127
320.1,988
321.1,988
322.1,988
323.1,988
324.1,858
325.1,858
326.1,858
327.1,858
328.1,858
329.1,596
330.1,596
331.1,596
332.1,596
333.1,416
334.1,416
335.1,416
336.1,416
337.1,416
338.1,229
339.1,229
340.1,229
341.1,229
342.1,259
343.1,259
344.1,259
345.1,259
346.1,489
347.1,489
348.1,489
349.1,489
350.1,489
351.1,766
352.1,766
353.1,766
354.1,766
355.1,1053
356.1,1053
357.1,1053
358.1,1053
359.1,1141
360.1,1141
361.1,1141
362.1,1141
363.1,1141
364.1,1108
365.1,1108
366.1,1108
367.1,1108
368.1,1127
369.1,1127
370.1,1127
371.1,1127
372.1,988
373.1,988
374.1,988
375.1,988
376.1,858
377.1,858
378.1,858
379.1,858
380.1,858
381.1,596
382.1,596
383.1,596
384.1,596
385.1,416
386.1,416
387.1,416
388.1,416
389.1,416
390.1,229
391.1,229
392.1,229
393.1,229
394.1,259
395.1,259
396.1,259
397.1,259
398.1,489
399.1,489
400.1,489
401.1,489
402.1,489
403.1,766
404.1,766
405.1,766
406.1,766
407.1,1053
408.1,1053
409.1,1053
410.1,1053
411.1,1141
412.1,1141
413.1,1141
414.1,1141
415.1,1141
416.1,1108
417.1,1108
418.1,1108
419.1,1108
420.1,1127
421.1,1127
422.1,1127
423.1,1127
424.1,988
425.1,988
426.1,988
427.1,988
428.1,858
429.1,858
430.1,858
431.1,858
432.1,858
433.1,596
434.1,596
435.1,596
436.1,596
437.1,416
438.1,416
439.1,416
440.1,416
441.1,416
442.1,229
443.1,229
444.1,229
445.1,229
446.1,259
447.1,259
448.1,259
449.1,259
450.1,489
451.1,489
452.1,489
453.1,489
454.1,489
455.1,766
456.1,766
457.1,766
458.1,766
459.1,1053
460.1,1053
461.1,1053
462.1,1053
463.1,1141
464.1,1141
465.1,1141
466.1,1141
467.1,1141
468.1,1108
469.1,1108
470.1,1108
471.1,1108
472.1,1127
473.1,1127
474.1,1127
475.1,1127
476.1,988
477.1,988
478.1,988
479.1,988
480.1,858
481.1,858
482.1,858
483.1,858
484.1,858
485.1,596
486.1,596
487.1,596
488.1,596
489.1,416
490.1,416
491.1,416
492.1,416
493.1,416
494.1,229
495.1,229
496.1,229
497.1,229
498.1,259
499.1,259
500.1,259
501.1,259
502.1,489
503.1,489
504.1,489
505.1,489
506.1,489
507.1,766
508.1,766
509.1,766
510.1,766
511.1,1053
512.1,1053
513.1,1053
514.1,1053
515.1,1141
516.1,1141
517.1,1141
518.1,1141
519.1,1141
520.1,1108
521.1,1108
522.1,1108
523.1,1108
524.1,1127
525.1,1127
526.1,1127
527.1,1127
528.1,988
529.1,988
530.1,988
531.1,988
532.1,858
533.1,858
534.1,858
535.1,858
536.1,858
537.1,596
538.1,596
539.1,596
540.1,596
541.1,416
542.1,416
543.1,416
544.1,416
545.1,416
546.1,229
547.1,229
548.1,229
549.1,229
550.1,259
551.1,259
552.1,259
553.1,259
554.1,489
555.1,489
556.1,489
557.1,489
558.1,489
559.1,766
560.1,766
561.1,766
562.1,766
563.1,1053
564.1,1053
565.1,1053
566.1,1053
567.1,1141
568.1,1141
569.1,1141
570.1,1141
