sample,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10,weight11,
0,0.5,0.5,0,0.25,0.5,0.5,0,0.25,0,0.75,0.25,0.25,
1,0.75,0,0.5,0,0.25,0.25,0,0.75,0.5,0.5,0,0,
2,0.5,0.75,0.5,0.25,0.25,0.25,0.75,0.25,0.5,0.25,0.75,0.75,
3,0,0.5,0.25,0.5,0,0,0.5,0.75,0,0,0,0.25,
4,0.75,0.75,0,0.75,0.5,0.5,0.75,0.25,0.75,0,0.75,0.75,
5,0.25,0,0.25,0,0,0.5,0.75,0.25,0,0,0.5,0.75,
6,0.75,0.75,0,0.25,0.75,0.75,0.25,0.75,0.75,0,0.5,0.75,
7,0.5,0.75,0,0.5,0.25,0.5,0.75,0.75,0.75,0.75,0.5,0.75,
8,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0,0,0.5,0,0.5,
9,0,0.5,0.25,0.75,0,0,0.75,0,0.5,0.25,0.75,0.25,
10,0.5,0.25,0.75,0.5,0.5,0.75,0.25,0.5,0.5,0.25,0.25,0.25,
11,0.25,0.75,0.5,0.75,0.5,0.5,0.5,0.75,0.25,0.5,0,0.25,
12,0.5,0.5,0.5,0,0,0.25,0.25,0.75,0.75,0,0.75,0.25,
13,0.25,0.75,0.75,0.5,0.25,0.25,0.5,0.75,0.25,0.25,0.25,0.75,
14,0.75,0.5,0,0,0.25,0.75,0.75,0.75,0,0.75,0.25,0.25,
15,0.25,0.25,0.5,0.5,0,0.75,0.5,0.75,0.5,0.75,0.25,0.25,
16,0.5,0.5,0,0.5,0.75,0.75,0,0,0,0.25,0.75,0.75,
17,0.75,0.75,0.5,0.25,0.5,0,0.75,0,0.75,0.75,0,0.25,
18,0.75,0,0.75,0,0.75,0.5,0.75,0.75,0,0.5,0.5,0,
19,0.75,0.25,0.5,0.5,0.5,0.25,0.25,0.25,0.75,0,0.5,0.5,
20,0.25,0.25,0.5,0.5,0,0.25,0.75,0,0.5,0.5,0.75,0.25,
21,0.75,0,0,0.75,0.5,0.75,0.25,0,0.5,0,0.5,0,
22,0.5,0,0,0,0.5,0.25,0.5,0,0.75,0.75,0.25,0.5,
23,0,0.25,0.75,0.5,0.75,0.5,0.5,0.75,0.5,0,0.75,0.75,
24,0.5,0,0,0.5,0.5,0.75,0.75,0.5,0,0.25,0.75,0.75,
25,0.75,0.5,0.75,0.5,0.75,0,0.75,0.5,0.5,0.75,0.25,0,
26,0,0.25,0.5,0,0.75,0.25,0,0,0.75,0.5,0.75,0.75,
27,0.75,0,0,0.5,0.5,0.75,0.25,0.5,0.5,0,0.5,0.5,
28,0,0.25,0.25,0.25,0,0.25,0.5,0.5,0.25,0.5,0,0.25,
29,0.75,0.75,0.25,0.5,0,0.25,0.75,0,0.75,0.5,0,0,
30,0.5,0.25,0.75,0.25,0.25,0,0.5,0.5,0.25,0.5,0,0,
31,0.25,0.5,0.25,0.75,0,0.25,0.75,0.5,0,0,0.75,0.75,
32,0.5,0.5,0.25,0.75,0.75,0,0.25,0.75,0.25,0.5,0.75,0.75,
33,0.25,0.25,0.25,0.25,0.75,0.75,0,0,0.75,0,0.25,0.5,
34,0.25,0.5,0.5,0.25,0.75,0.25,0,0,0.25,0.75,0.25,0.75,
35,0.5,0.5,0.5,0.25,0.75,0.75,0.75,0.25,0.25,0.75,0,0.25,
36,0.75,0.5,0.25,0.5,0.25,0.75,0,0,0.25,0.75,0.25,0.25,
37,0.75,0.25,0.25,0.5,0.75,0,0,0.25,0.5,0.75,0.25,0.5,
38,0.5,0.25,0.25,0.75,0.25,0.25,0.25,0.5,0.75,0.75,0.5,0.75,
39,0.75,0.75,0.25,0,0,0,0.25,0.5,0.5,0.25,0.5,0.75,
40,0,0.75,0,0.75,0,0.5,0,0.25,0.5,0.25,0.75,0,
