"tick","Total","Ave TSM"
1.1,17,0.6996
2.1,17,0.6992
3.1,17,0.698801
4.1,17,0.698402
5.1,17,0.698004
6.1,17,0.697606
7.1,17,0.697208
8.1,18,0.696811
9.1,18,0.696414
10.1,18,0.696018
11.1,18,0.695622
12.1,18,0.695226
13.1,18,0.694831
14.1,18,0.694436
15.1,18,0.694042
16.1,18,0.693648
17.1,18,0.693254
18.1,18,0.692861
19.1,18,0.692468
20.1,18,0.692076
21.1,18,0.691683
22.1,18,0.691292
23.1,18,0.690901
24.1,18,0.69051
25.1,18,0.690119
26.1,18,0.689729
27.1,18,0.689339
28.1,18,0.68895
29.1,18,0.688561
30.1,18,0.688172
31.1,18,0.687784
32.1,18,0.687396
33.1,18,0.687009
34.1,18,0.686622
35.1,18,0.686235
36.1,18,0.685849
37.1,18,0.685463
38.1,18,0.685078
39.1,18,0.684693
40.1,18,0.684308
41.1,18,0.683924
42.1,18,0.68354
43.1,18,0.683156
44.1,18,0.682773
45.1,18,0.68239
46.1,18,0.682008
47.1,17,0.681626
48.1,17,0.681244
49.1,17,0.680863
50.1,17,0.680482
51.1,17,0.680102
52.1,17,0.679722
53.1,17,0.679342
54.1,17,0.678963
55.1,17,0.678584
56.1,17,0.678205
57.1,17,0.677827
58.1,17,0.677449
59.1,17,0.677072
60.1,18,0.676695
61.1,18,0.676318
62.1,18,0.675942
63.1,18,0.675566
64.1,18,0.67519
65.1,18,0.674815
66.1,18,0.67444
67.1,18,0.674066
68.1,18,0.673692
69.1,18,0.673318
70.1,18,0.672944
71.1,18,0.672572
72.1,18,0.672199
73.1,18,0.671827
74.1,18,0.671455
75.1,18,0.671084
76.1,18,0.670712
77.1,18,0.670342
78.1,18,0.669971
79.1,18,0.669601
80.1,18,0.669232
81.1,18,0.668863
82.1,18,0.668494
83.1,18,0.668125
84.1,18,0.667757
85.1,18,0.667389
86.1,18,0.667022
87.1,18,0.666655
88.1,18,0.666288
89.1,18,0.665922
90.1,18,0.665556
91.1,18,0.665191
92.1,18,0.664825
93.1,18,0.66446
94.1,18,0.664096
95.1,18,0.663732
96.1,18,0.663368
97.1,18,0.663005
98.1,18,0.662642
99.1,17,0.662279
100.1,17,0.661917
101.1,17,0.661555
102.1,17,0.661193
103.1,17,0.660832
104.1,17,0.660471
105.1,17,0.660111
106.1,17,0.659751
107.1,17,0.659391
108.1,17,0.659032
109.1,17,0.658673
110.1,17,0.658314
111.1,17,0.657955
112.1,18,0.657598
113.1,18,0.65724
114.1,18,0.656883
115.1,18,0.656526
116.1,18,0.656169
117.1,18,0.655813
118.1,18,0.655457
119.1,18,0.655102
120.1,18,0.654747
121.1,18,0.654392
122.1,18,0.654038
123.1,18,0.653683
124.1,18,0.65333
125.1,18,0.652976
126.1,18,0.652623
127.1,18,0.652271
128.1,18,0.651919
129.1,18,0.651567
130.1,18,0.651215
131.1,18,0.650864
132.1,18,0.650513
133.1,18,0.650163
134.1,18,0.649812
135.1,18,0.649463
136.1,18,0.649113
137.1,18,0.648764
138.1,18,0.648415
139.1,18,0.648067
140.1,18,0.647719
141.1,18,0.647371
142.1,18,0.647024
143.1,18,0.646677
144.1,18,0.64633
145.1,18,0.645984
146.1,18,0.645638
147.1,18,0.645292
148.1,18,0.644947
149.1,18,0.644602
150.1,18,0.644257
151.1,17,0.643913
152.1,17,0.643569
153.1,17,0.643225
154.1,17,0.642882
155.1,17,0.642539
156.1,17,0.642197
157.1,17,0.641855
158.1,17,0.641513
159.1,17,0.641171
160.1,17,0.64083
161.1,17,0.640489
162.1,17,0.640149
163.1,17,0.639809
164.1,18,0.639469
165.1,18,0.639129
166.1,18,0.63879
167.1,18,0.638451
168.1,18,0.638113
169.1,18,0.637775
170.1,18,0.637437
171.1,18,0.6371
172.1,18,0.636762
173.1,18,0.636426
174.1,18,0.636089
175.1,18,0.635753
176.1,18,0.635417
177.1,18,0.635082
178.1,18,0.634747
179.1,18,0.634412
180.1,18,0.634078
