sample,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10,weight11,
0,0.75,0.75,0.5,0.75,0.5,0.25,0,0.5,0.25,0.5,0.75,0.5,
1,0.25,0.5,0.75,0.75,0.75,0,0.75,0.25,0,0.5,0.75,0,
2,0.25,0,0,0.5,0,0,0,0.75,0.75,0.75,0.75,0.5,
3,0.25,0,0,0.75,0.5,0.75,0.25,0,0.5,0.25,0,0.25,
4,0.25,0.75,0.5,0.25,0.5,0.5,0.5,0,0.75,0.5,0.5,0.75,
5,0.75,0.75,0.75,0.75,0.75,0.5,0.25,0,0.5,0.5,0.75,0.25,
6,0.5,0.25,0.5,0,0.5,0.5,0.5,0,0.5,0.25,0.5,0,
7,0.75,0,0,0.5,0.75,0.75,0.25,0.5,0.75,0,0.25,0.5,
8,0.75,0.75,0.75,0.5,0.25,0.75,0,0,0.25,0.5,0,0.75,
9,0,0.75,0,0.5,0,0.5,0.75,0.75,0.5,0,0.5,0.5,
