"tick","Total","Ave TSM"
1.1,4639,0.6996
5.1,4631,0.698004
9.1,4376,0.696414
13.1,4178,0.694831
17.1,3551,0.693254
21.1,2300,0.691683
25.1,2300,0.690119
29.1,1055,0.688561
33.1,1154,0.687009
37.1,3001,0.685463
41.1,3984,0.683924
45.1,4451,0.68239
49.1,4625,0.680863
53.1,4639,0.679342
57.1,4631,0.677827
61.1,4376,0.676318
65.1,4178,0.674815
69.1,3551,0.673318
73.1,2300,0.671827
77.1,2300,0.670342
81.1,1055,0.668863
85.1,1154,0.667389
89.1,3001,0.665922
93.1,3984,0.66446
97.1,4451,0.663005
101.1,4625,0.661555
105.1,4639,0.660111
109.1,4631,0.658673
113.1,4376,0.65724
117.1,4178,0.655813
121.1,3551,0.654392
125.1,2300,0.652976
129.1,2300,0.651567
133.1,1055,0.650163
137.1,1154,0.648764
141.1,3001,0.647371
145.1,3984,0.645984
149.1,4451,0.644602
153.1,4625,0.643225
157.1,4639,0.641855
161.1,4631,0.640489
165.1,4376,0.639129
169.1,4178,0.637775
173.1,3551,0.636426
177.1,2300,0.635082
181.1,2300,0.633744
185.1,1055,0.632411
189.1,1154,0.631083
193.1,3001,0.629761
197.1,3984,0.628444
201.1,4451,0.627132
205.1,4625,0.625825
209.1,4639,0.624524
213.1,4631,0.623228
217.1,4376,0.621937
221.1,4178,0.620651
225.1,3551,0.61937
229.1,2300,0.618095
233.1,2300,0.616824
237.1,1055,0.615559
241.1,1154,0.614299
245.1,3001,0.613043
249.1,3984,0.611793
253.1,4451,0.610548
257.1,4625,0.609307
261.1,4639,0.608072
265.1,4631,0.606842
269.1,4376,0.605616
273.1,4178,0.604395
277.1,3551,0.60318
281.1,2300,0.601969
285.1,2300,0.600763
289.1,1055,0.599561
293.1,1154,0.598365
297.1,3001,0.597173
301.1,3984,0.595986
305.1,4451,0.594804
309.1,4625,0.593626
313.1,4639,0.592454
317.1,4631,0.591286
321.1,4376,0.590122
325.1,4178,0.588964
329.1,3551,0.58781
333.1,2300,0.58666
337.1,2300,0.585515
341.1,1055,0.584375
345.1,1154,0.583239
349.1,3001,0.582108
353.1,3984,0.580981
357.1,4451,0.579859
361.1,4625,0.578741
365.1,4639,0.577628
369.1,4631,0.576519
373.1,4376,0.575414
377.1,4178,0.574314
381.1,3551,0.573219
385.1,2300,0.572128
389.1,2300,0.571041
393.1,1055,0.569958
397.1,1154,0.56888
401.1,3001,0.567806
405.1,3984,0.566736
409.1,4451,0.565671
413.1,4625,0.56461
417.1,4639,0.563553
421.1,4631,0.5625
425.1,4376,0.561452
429.1,4178,0.560408
433.1,3551,0.559368
